Artikelnummer	Kurzbez.	Lagerware	Warengruppe	Warenuntergruppe	Langtext	Artikelhinweis	Abmessungen	Sockel	Lichtfarbe	Leistung	Lichtstrom	CRI	Anzahl LEDs	LED Typ	Abstrahlwinkel	Optik	Gehäuse	Farbe	Gewicht	Eingangsspannung	Powerfaktor	Schutzart	Betriebstemperatur	Luftfeuchtigkeit	Lifetime	Garantie	Zertifikate
11652	SMD1500-I53-60MM	*	LED Tubes	LED Tubes 1500	SMD1500-I53-60MM     LED Tube 1500 SMD 0,3W 6000K 25W Ra82 Full PC MM (inkl. Starter-Ersatz)		L1500 Ø26	G13	6000K	25	3100	82	148	SMD 0,3W	120°	MM	Full PC	weiss	450	150-240 V / 50-60 Hz	0,97	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11653	SMD1500-I60-30MM		LED Tubes	LED Tubes 1500	SMD1500-I60-30MM     LED Tube 1500 SMD 0,3W 3000K 30W Ra82 Full PC MM (inkl. Starter-Ersatz)		L1500 Ø26	G13	3000K	30	3300	82	148	SMD 0,3W	120°	MM	Full PC	weiss	450	150-240 V / 50-60 Hz	0,97	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11654	SMD1500-I60-40MM	*	LED Tubes	LED Tubes 1500	SMD1500-I60-40MM     LED Tube 1500 SMD 0,3W 4000K 30W Ra82 Full PC MM (inkl. Starter-Ersatz)		L1500 Ø26	G13	4000K	30	3600	82	148	SMD 0,3W	120°	MM	Full PC	weiss	450	150-240 V / 50-60 Hz	0,97	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11655	SMD1500-I60-60MM	*	LED Tubes	LED Tubes 1500	SMD1500-I60-60MM     LED Tube 1500 SMD 0,3W 6000K 30W Ra82 Full PC MM (inkl. Starter-Ersatz)		L1500 Ø26	G13	6000K	30	3600	82	148	SMD 0,3W	120°	MM	Full PC	weiss	450	150-240 V / 50-60 Hz	0,97	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11700	SMD1500-I(SB)-27/9T		LED Tubes	LED Tubes 1500	SMD1500-I(SB)-27/9T     LED Tube 1500 SMD 0,06W 2700K 23W Ra90 Full PC clear (inkl. Starter-Ersatz)		L1500 Ø26	G13	2700K	23	1650	90	340	SMD 0,06W	120°	clear	Full PC	silber	465	150-240 V / 50-60 Hz	0,93	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11901	Leuchteneinsatz 1-lampig		LED Zubehör	Leuchten für LED Tubes	Leuchteneinsatz 1-lampig ohne Vorschaltgerät, mit Feinsicherung		L1530										Stahlblech	weiss				IP20				60 Mon.	
11902	Leuchteneinsatz 2-lampig		LED Zubehör	Leuchten für LED Tubes	Leuchteneinsatz 2-lampig ohne Vorschaltgerät, mit Feinsicherung		L1530										Stahlblech	weiss				IP20				60 Mon.	
11903	Blindabdeckung LS		LED Zubehör	Leuchten für LED Tubes	Blindabdeckung für LED Lichtbandsystem		L1530										Kunststoff	weiss				IP20				60 Mon.	
11904	Tragprofil 1-längig		LED Zubehör	Leuchten für LED Tubes	Tragprofil 1-längig 7 x 1,5mm²	nur für Einzelleuchten verwenden	L1530										Stahlblech	weiss				IP20				60 Mon.	
11905	Tragprofil 2-längig		LED Zubehör	Leuchten für LED Tubes	Tragprofil 2-längig 5 x 2,5mm²		L3060										Stahlblech	weiss				IP20				60 Mon.	
11906	Tragprofil 3-längig		LED Zubehör	Leuchten für LED Tubes	Tragprofil 3-längig 5 x 2,5mm²		L4590										Stahlblech	weiss				IP20				60 Mon.	
11907	Endkaschierung LS		LED Zubehör	Leuchten für LED Tubes	Endkaschierung für LED Lichtbandsystem	je Lichtband 2 Stück erforderlich											Kunststoff	weiss								60 Mon.	
11908	Aufhängeklammer LS		LED Zubehör	Leuchten für LED Tubes	Aufhängeklammer für LED Lichtbandsystem												Edelstahl	silber								60 Mon.	
11909	Knotenkette LS		LED Zubehör	Leuchten für LED Tubes	Knotenkette für LED Lichtbandsystem		Ø3										verzinkt	silber								60 Mon.	
11911	Sicherungshalter	*	LED Tubes	Zubehör LED Tubes	Sicherungshalter inkl. Feinsicherung 2A, mittelträge																					60 Mon.	
